t,o,h,l,c,v
2025-04-10T00:00:00+02:00,534.5796931509653,535.1656170646003,508.21204413500874,511.92303466796875,912107.0
2025-04-11T00:00:00+02:00,515.8293375897713,519.5403280115738,500.7899884629512,512.1183471679688,574896.0
2025-04-14T00:00:00+02:00,522.4700782645521,523.4466578500932,512.3136267326483,517.684814453125,593484.0
2025-04-15T00:00:00+02:00,489.2663917617714,490.63359727518736,473.39697286730274,477.20562744140625,1693077.0
2025-04-16T00:00:00+02:00,471.68793877665775,477.5474162769889,468.0745823969827,473.83642578125,1094429.0
2025-04-17T00:00:00+02:00,470.80905254330116,481.74672667928013,469.68599191276854,474.2270812988281,902702.0
2025-04-22T00:00:00+02:00,477.98690757694527,478.3286866021319,460.213146547756,475.8872375488281,809138.0
2025-04-23T00:00:00+02:00,480.818973706361,503.036129881412,480.33068390464905,488.582763671875,844261.0
2025-04-24T00:00:00+02:00,486.0545945992988,497.5057412272198,481.8905247765539,495.4237365722656,605877.0
2025-04-25T00:00:00+02:00,499.6869454387538,502.16555131890635,492.99470956234194,494.53143310546875,561897.0
2025-04-28T00:00:00+02:00,498.00146111831873,502.7604023688454,496.81174849800067,497.70404052734375,517430.0
2025-04-29T00:00:00+02:00,495.42372545886326,498.89377348117074,485.1127014160156,485.1127014160156,711370.0
2025-04-30T00:00:00+02:00,486.69902788189927,489.1280736637013,479.0649401867271,483.7247009277344,889223.0
2025-05-02T00:00:00+02:00,491.9537003227826,493.5399838587847,481.79141635612154,491.606689453125,793013.0
2025-05-05T00:00:00+02:00,492.5485259798985,493.6391185688043,486.3520115615905,488.0374755859375,389637.0
2025-05-06T00:00:00+02:00,487.78963599099984,488.731518325664,480.2546680829444,484.9144592285156,476847.0
2025-05-07T00:00:00+02:00,484.9144488122996,486.798183184745,477.8752022302385,479.36236572265625,542053.0
2025-05-08T00:00:00+02:00,481.6426583239888,492.44940362350246,478.2222005351232,483.12982177734375,673673.0
2025-05-09T00:00:00+02:00,488.1861999664687,493.986143680636,487.2443479015612,491.5075378417969,503875.0
2025-05-12T00:00:00+02:00,504.64413443519527,531.8096778613991,503.9501127174912,525.9601440429688,924869.0
2025-05-13T00:00:00+02:00,527.4473282199767,536.4694293659725,525.6627440992437,532.305419921875,627140.0
2025-05-14T00:00:00+02:00,533.2968346185776,533.2968346185776,516.7397361915924,520.7055053710938,585731.0
2025-05-15T00:00:00+02:00,514.4594464730175,516.5414511496759,501.4715157122235,502.95867919921875,585025.0
2025-05-16T00:00:00+02:00,502.2646748653041,506.3295943436257,494.97756791433034,499.5877685546875,793318.0
2025-05-19T00:00:00+02:00,497.2083371561914,501.17410654527373,487.2443536686899,494.3331604003906,565393.0
2025-05-20T00:00:00+02:00,494.7297199690315,501.27324536259096,488.58276545402316,500.5792236328125,491158.0
2025-05-21T00:00:00+02:00,494.13485772125017,497.80320649307623,486.1041686913196,489.4255065917969,582521.0
2025-05-22T00:00:00+02:00,481.98967175393193,487.7400552914509,473.5128521271264,480.94866943359375,762477.0
2025-05-23T00:00:00+02:00,482.6341170238677,485.65803430227874,462.8052703054439,474.90087890625,830264.0
2025-05-26T00:00:00+02:00,482.88197334847973,484.517877393455,476.14017762625076,479.31280517578125,318156.0
2025-05-27T00:00:00+02:00,471.67869761563287,480.8495393454166,471.33168674214096,477.77606201171875,440665.0
2025-05-28T00:00:00+02:00,480.8495310805116,481.9401236971326,477.5777834870674,479.5110778808594,533957.0
