time,open,high,low,close,volume,sma20,sma50,ema20,rsi14,macd,macd_signal,vol20
2025-05-21 00:00:00+02:00,7913.740234375,7930.60986328125,7873.169921875,7910.490234375,57998400.0,,,7910.490234375,37.35496649301899,0.0,0.0,
2025-05-22 00:00:00+02:00,7870.56982421875,7887.10009765625,7807.0498046875,7864.43994140625,61205200.0,,,7906.1044921875,37.35496649301899,-3.673527644231399,-0.7347055288462798,
2025-05-23 00:00:00+02:00,7876.8701171875,7888.97021484375,7620.39990234375,7734.39990234375,79976100.0,,,7889.751674107143,37.35496649301899,-16.883348400175237,-3.9644341031120716,
2025-05-26 00:00:00+02:00,7833.1298828125,7840.2998046875,7799.81005859375,7828.1298828125,45804600.0,,,7883.882932079082,37.35496649301899,-19.563484756754406,-7.084244233840538,
2025-05-27 00:00:00+02:00,7816.509765625,7856.39990234375,7808.1201171875,7826.7900390625,51608000.0,,,7878.44551369655,37.35496649301899,-21.547243115820493,-9.97684401023653,
2025-05-28 00:00:00+02:00,7825.419921875,7853.66015625,7787.580078125,7788.10009765625,59924500.0,,,7869.841188359378,37.35496649301899,-25.94229421455202,-13.169934051099627,
2025-05-29 00:00:00+02:00,7866.77001953125,7869.919921875,7779.72021484375,7779.72021484375,38396900.0,,,7861.258238500747,37.35496649301899,-29.758552317238355,-16.487657704327376,
2025-05-30 00:00:00+02:00,7776.0400390625,7811.490234375,7747.89990234375,7751.89013671875,126162300.0,,,7850.842228807224,37.35496649301899,-34.62943253510093,-20.11601267048209,
2025-06-02 00:00:00+02:00,7714.91015625,7744.27978515625,7668.89990234375,7737.2001953125,59191900.0,,,7840.019177998202,37.35496649301899,-39.22285899990675,-23.93738193636702,
2025-06-03 00:00:00+02:00,7752.27978515625,7765.4599609375,7699.240234375,7763.83984375,58270900.0,,,7832.764003307897,37.35496649301899,-40.2496130898553,-27.19982816706468,
2025-06-04 00:00:00+02:00,7795.06005859375,7843.2099609375,7779.35986328125,7804.669921875,60842600.0,,,7830.088376504764,37.35496649301899,-37.33826475617025,-29.227515484885796,
2025-06-05 00:00:00+02:00,7811.18017578125,7848.08984375,7761.5400390625,7790.27001953125,53717400.0,,,7826.296152031096,37.35496649301899,-35.780496707272505,-30.538111729363138,
2025-06-06 00:00:00+02:00,7794.8798828125,7815.0,7769.83984375,7804.8701171875,43299700.0,,,7824.255577284088,37.35496649301899,-32.98758806154365,-31.028006995799238,
2025-06-09 00:00:00+02:00,7796.259765625,7812.72998046875,7772.08984375,7791.47021484375,39647500.0,,,7821.13316181358,37.35496649301899,-31.49242292138115,-31.120890180915623,
2025-06-10 00:00:00+02:00,7784.580078125,7815.43994140625,7769.509765625,7804.330078125,61379600.0,,,7819.532868128954,39.02123482325185,-28.93625119173703,-30.68396238307991,
2025-06-11 00:00:00+02:00,7810.83984375,7840.02001953125,7775.89990234375,7775.89990234375,58253000.0,,,7815.377347577982,40.49712812342781,-28.871728945173345,-30.321515695498597,
2025-06-12 00:00:00+02:00,7741.0400390625,7783.64013671875,7698.22998046875,7765.10986328125,57177200.0,,,7810.58996812115,54.43005341928504,-29.35289863224989,-30.12779228284886,
2025-06-13 00:00:00+02:00,7670.0400390625,7713.68017578125,7659.1298828125,7684.68017578125,74634100.0,,,7798.598559326874,28.480978352428963,-35.811420909791195,-31.264518008237328,
2025-06-16 00:00:00+02:00,7706.83984375,7769.31982421875,7705.27978515625,7742.240234375,66005300.0,,,7793.231099807648,39.147182847888324,-35.87172376466333,-32.18595915952253,
2025-06-17 00:00:00+02:00,7687.169921875,7702.75,7646.759765625,7683.72998046875,63015300.0,7781.613549804688,,7782.802421775373,37.251714085320174,-40.1776596604077,-33.784299259699566,
2025-06-18 00:00:00+02:00,7687.419921875,7710.14013671875,7641.1298828125,7656.1201171875,56555500.0,7768.895043945313,,7770.737440386051,35.58026320136808,-45.295887308734564,-36.08661686950657,0.09938790372438376
2025-06-19 00:00:00+02:00,7605.8798828125,7618.759765625,7553.4501953125,7553.4501953125,54333600.0,7753.345556640625,,7750.043417045713,30.290794498173142,-56.979895475557896,-40.26527259071684,0.1070069841655696
2025-06-20 00:00:00+02:00,7597.18017578125,7636.830078125,7575.990234375,7589.66015625,150191600.0,7746.108569335937,,7734.7688207794545,35.946947006537215,-62.596145497564976,-44.73144717208647,0.09463226897914843
2025-06-23 00:00:00+02:00,7549.919921875,7597.93994140625,7505.27001953125,7537.56982421875,53135000.0,7731.58056640625,,7715.9879639641495,29.44457899625533,-70.43834911846625,-49.87282756136243,0.08322491653759524
2025-06-24 00:00:00+02:00,7656.5400390625,7678.77978515625,7606.31982421875,7615.990234375,69697400.0,7721.040576171875,,7706.464370669944,33.95527593789653,-69.52405030051523,-53.80307210919299,0.0938818656217312
2025-06-25 00:00:00+02:00,7630.33984375,7658.5,7557.240234375,7558.16015625,53189500.0,7709.5435791015625,,7692.340159772806,31.619737860646538,-72.6286480536819,-57.56818729809078,0.09568199335186933
2025-06-26 00:00:00+02:00,7587.240234375,7594.89990234375,7532.25,7557.31005859375,70187900.0,7698.423071289062,,7679.480150136706,29.959864629093673,-74.30116236787308,-60.91478231204724,0.09579701699431337
2025-06-27 00:00:00+02:00,7613.35009765625,7691.5498046875,7609.9599609375,7691.5498046875,60467400.0,7695.4060546875,,7680.629641046305,43.23491238382253,-64.05621620350303,-61.5430690903384,0.11704994992705141
2025-06-30 00:00:00+02:00,7714.56005859375,7714.56005859375,7660.77978515625,7665.91015625,63121500.0,7691.841552734375,,7679.227785351419,40.78773083967342,-57.344891691348494,-60.70343361054042,0.11741017289299227
