t,o,h,l,c,v
2024-11-21T00:00:00+01:00,556.4385058039152,562.2936986544044,553.2181616485664,561.0250854492188,361231.0
2024-11-22T00:00:00+01:00,565.7092213113737,570.9788590789506,556.9264321366444,568.9295654296875,412214.0
2024-11-25T00:00:00+01:00,578.6882501400976,585.616871468704,576.0534013383374,578.2003173828125,617916.0
2024-11-26T00:00:00+01:00,575.0775338885243,593.0334831210316,567.2706097982349,581.6158447265625,379593.0
2024-11-27T00:00:00+01:00,577.419635889919,580.8351651850369,572.5403083254649,575.8582153320312,386614.0
2024-11-28T00:00:00+01:00,575.3702518771524,578.5906555475532,571.8571600430254,572.3450927734375,260194.0
2024-11-29T00:00:00+01:00,570.783763296921,578.785812866713,569.3199650250658,578.2003173828125,440017.0
2024-12-02T00:00:00+01:00,576.3287275296695,599.673452273569,573.4722375727627,597.013916015625,617665.0
2024-12-03T00:00:00+01:00,600.8555000719858,610.9026040644385,596.3244826441048,600.0675048828125,495066.0
2024-12-04T00:00:00+01:00,600.953953264496,605.288016814575,597.7034356620251,601.052490234375,443542.0
2024-12-05T00:00:00+01:00,596.91546400594,604.7955361380316,595.6349643085109,600.0675048828125,408680.0
2024-12-06T00:00:00+01:00,599.9689669180672,624.791206117192,599.3779855572081,620.94970703125,544275.0
2024-12-09T00:00:00+01:00,630.4057444502992,648.9239011694914,630.4057444502992,642.8168334960938,746422.0
2024-12-10T00:00:00+01:00,632.3758136101488,635.5278546116813,625.1360211005352,626.4657592773438,481366.0
2024-12-11T00:00:00+01:00,621.5407001068163,636.1188217778371,619.1766543784647,634.1488037109375,437445.0
2024-12-12T00:00:00+01:00,642.8168310654283,645.1808766462485,627.2537013321953,636.3157958984375,469338.0
2024-12-13T00:00:00+01:00,633.262335670083,638.8768391002186,626.6627630800685,629.4207763671875,423295.0
2024-12-16T00:00:00+01:00,621.442241239042,628.534258389013,617.9947095221797,621.7377319335938,403172.0
2024-12-17T00:00:00+01:00,617.6006626866417,630.8982846105167,616.3201629698601,626.0717163085938,410131.0
2024-12-18T00:00:00+01:00,627.352279615936,630.0117559192786,621.8361929374844,626.958251953125,441362.0
2024-12-19T00:00:00+01:00,615.0396358352971,623.510689079619,614.4485943706981,618.0931396484375,465932.0
2024-12-20T00:00:00+01:00,616.3201574841999,623.2152206426163,607.8490438174662,618.6841430664062,764729.0
2024-12-23T00:00:00+01:00,616.9111499303033,620.0631908833733,614.1531366414348,619.7677001953125,264215.0
2024-12-24T00:00:00+01:00,621.0481982775663,623.7077347034253,620.457216903011,621.3436889648438,76311.0
2024-12-27T00:00:00+01:00,621.146671151603,628.4357620320214,620.5556897808361,626.0717163085938,254536.0
2024-12-30T00:00:00+01:00,622.8211768938886,626.564199059143,618.5856502300433,619.8661499023438,292211.0
2024-12-31T00:00:00+01:00,616.221592635397,628.1402373422058,613.7590701902105,625.9732055664062,99667.0
2025-01-02T00:00:00+01:00,628.3372784113552,629.8147919425434,610.0160745525144,625.874755859375,374039.0
2025-01-03T00:00:00+01:00,625.4807115223654,626.2687066939485,600.4614590133996,602.135986328125,415336.0
2025-01-06T00:00:00+01:00,605.4850274405585,634.2473014625805,604.1059908309405,625.086669921875,611624.0
2025-01-07T00:00:00+01:00,626.7612318260447,636.5128452409496,622.9197326930366,634.8383178710938,432713.0
2025-01-08T00:00:00+01:00,634.0502989718351,635.3307986349708,620.8511544559988,626.1702270507812,380525.0
2025-01-09T00:00:00+01:00,620.8511564318653,639.3693134812407,620.2601750839766,638.2858276367188,408809.0
2025-01-10T00:00:00+01:00,635.4292873996635,645.1809006328731,632.769811172587,635.330810546875,410414.0
2025-01-13T00:00:00+01:00,632.3757752380457,638.8768105615806,629.0267206046016,636.7098388671875,293771.0
2025-01-14T00:00:00+01:00,647.8404169036977,652.4699711246836,641.2408447265625,641.2408447265625,466755.0
2025-01-15T00:00:00+01:00,638.6798792763624,643.6049244277218,627.6477661132812,627.6477661132812,528879.0
2025-01-16T00:00:00+01:00,679.65624175082,690.195850567224,667.8361331986318,685.0737915039062,1078089.0
2025-01-17T00:00:00+01:00,680.7397087256592,689.0138085302051,675.3221591232058,679.7546997070312,714731.0
2025-01-20T00:00:00+01:00,679.6562052411072,685.7632730223817,670.6926474519405,672.859619140625,418509.0
2025-01-21T00:00:00+01:00,673.7461604116727,690.7868041992188,672.8596282577964,690.7868041992188,521381.0
