t,o,h,l,c,v
2024-12-24T00:00:00+01:00,7296.68994140625,7316.58984375,7282.68994140625,7282.68994140625,20579600.0
2024-12-27T00:00:00+01:00,7289.5400390625,7355.3701171875,7278.419921875,7355.3701171875,46195200.0
2024-12-30T00:00:00+01:00,7325.5,7372.64990234375,7299.39013671875,7313.56005859375,41887400.0
2024-12-31T00:00:00+01:00,7289.7900390625,7381.259765625,7287.14013671875,7380.740234375,23241400.0
2025-01-02T00:00:00+01:00,7374.58984375,7399.25,7285.2998046875,7393.759765625,52769000.0
2025-01-03T00:00:00+01:00,7387.97021484375,7387.97021484375,7270.56982421875,7282.22021484375,61578200.0
2025-01-06T00:00:00+01:00,7313.35986328125,7454.8701171875,7304.47021484375,7445.68994140625,78726100.0
2025-01-07T00:00:00+01:00,7451.33984375,7516.9501953125,7417.419921875,7489.35009765625,68128400.0
2025-01-08T00:00:00+01:00,7489.2001953125,7496.509765625,7396.68017578125,7452.419921875,68013600.0
2025-01-09T00:00:00+01:00,7421.2001953125,7504.10986328125,7413.14990234375,7490.27978515625,46769000.0
2025-01-10T00:00:00+01:00,7495.2099609375,7521.22021484375,7417.58984375,7431.0400390625,65416600.0
2025-01-13T00:00:00+01:00,7409.56005859375,7424.509765625,7353.0498046875,7408.64013671875,61436800.0
2025-01-14T00:00:00+01:00,7481.9501953125,7499.77001953125,7423.490234375,7423.669921875,75439900.0
2025-01-15T00:00:00+01:00,7447.39013671875,7514.91015625,7415.52001953125,7474.58984375,90347900.0
2025-01-16T00:00:00+01:00,7591.35009765625,7634.740234375,7567.669921875,7634.740234375,74666800.0
2025-01-17T00:00:00+01:00,7685.0400390625,7732.31982421875,7667.85009765625,7709.75,93238600.0
2025-01-20T00:00:00+01:00,7722.1201171875,7766.240234375,7707.2900390625,7733.5,66371900.0
2025-01-21T00:00:00+01:00,7724.33984375,7774.759765625,7713.259765625,7770.9501953125,62824400.0
2025-01-22T00:00:00+01:00,7783.2998046875,7873.97998046875,7773.64013671875,7837.39990234375,70350300.0
2025-01-23T00:00:00+01:00,7851.39990234375,7896.97021484375,7829.39990234375,7892.60986328125,67604300.0
2025-01-24T00:00:00+01:00,7958.919921875,7988.85009765625,7904.169921875,7927.6201171875,65431800.0
2025-01-27T00:00:00+01:00,7873.7001953125,7928.41015625,7844.41015625,7906.580078125,87932900.0
2025-01-28T00:00:00+01:00,7899.27978515625,7955.4599609375,7879.330078125,7897.3701171875,73336500.0
2025-01-29T00:00:00+01:00,7874.72021484375,7891.58984375,7848.759765625,7872.47998046875,61912300.0
2025-01-30T00:00:00+01:00,7904.47021484375,7951.85009765625,7889.22021484375,7941.64013671875,71722800.0
2025-01-31T00:00:00+01:00,7954.43017578125,7996.41015625,7928.83984375,7950.169921875,77134700.0
2025-02-03T00:00:00+01:00,7786.31982421875,7875.580078125,7785.8701171875,7854.919921875,85149300.0
2025-02-04T00:00:00+01:00,7870.2900390625,7915.52978515625,7808.10986328125,7906.39990234375,83795000.0
2025-02-05T00:00:00+01:00,7888.60009765625,7900.7099609375,7858.22021484375,7891.68017578125,63874400.0
2025-02-06T00:00:00+01:00,7918.35986328125,8024.8798828125,7906.35986328125,8007.6201171875,104325900.0
2025-02-07T00:00:00+01:00,7998.3798828125,8027.0498046875,7954.89990234375,7973.02978515625,86935500.0
